Term ID;Term;Search Result;T1;T2;T3;T4;T5;T6;T7;T8;T9;T10;T11;T12;T13;T14;Total Found
1;stress;302437;7;4;77;198;12;8;11;4;4;5;0;5;14;21;370
2;depression;101.106;5;0;75;63;7;3;7;6;3;10;0;1;2;4;186
3;anxiety;54469;5;1;17;6;0;0;3;1;0;5;0;0;0;0;38
4;sleep disorder;12516;0;1;9;8;1;0;0;0;0;0;0;0;0;0;19
5;eating disorder;11787;0;0;2;2;0;0;1;2;0;2;0;0;0;0;9
6;alcohol consumption;8370;0;0;1;0;1;0;0;1;0;1;0;0;0;0;4
7;burnout;7909;1;0;0;5;0;0;0;0;1;1;1;0;0;0;9
8;environmental risk;2497;0;0;2;3;2;1;1;0;0;1;0;0;2;0;12
9;eating habit;999;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
10;boredom;625;0;0;2;1;0;0;0;0;0;0;0;0;0;0;3
11;musculoskeletal disorder;463;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
12;tobbacco  cunsumption;404;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13;drowsiness;324;0;0;2;13;3;1;3;0;0;1;0;0;1;0;24
14;biological risk;250;0;0;1;1;0;0;0;1;0;0;0;0;0;0;3
15;chemical risk;214;0;0;1;1;1;0;0;1;0;0;0;0;0;0;4
16;work fatigue;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17;psychosocial;24057;1;0;2;2;0;2;0;1;0;2;0;0;0;0;10
18;psychosocial risk;672;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2
19;psychosocial assessment;218;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20;psychosocial evaluation;77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21;psychosocial factor;13;1;0;0;2;0;0;0;0;0;0;0;0;0;0;3
22;psychosocial risk factor;9;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2
