ID;QID;Questionaire;QOFSELITEMS;ITID;TYPE;AFFAIR;ITEM;
1;1;Perceived Scale Test (PSS);4;1;Emotion;Anger;In the last month, how often have you been upset because of something that happened unexpectedly?;
2;1;Perceived Scale Test (PSS);4;3;Emotion;Fear;In the last month, how often have you felt nervous and “stressed”?;
3;1;Perceived Scale Test (PSS);4;7;Emotion;Anger;In the last month, how often have you been able to control irritations in your life?;
4;1;Perceived Scale Test (PSS);4;9;Emotion;Anger;In the last month, how often have you been angered because of things that were outside of your control?;
5;2;Depression, anxiety and stress scale (DASS21);7;4a;Activity;Physical symptoms;I experienced breathing difficulty (e.g. excessively rapid breathing, breathlessness in the absence of physical exertion).;
6;2;Depression, anxiety and stress scale (DASS21);7;7a;Activity;Physical symptoms;I experienced trembling (e.g. in the hands);
7;2;Depression, anxiety and stress scale (DASS21);7;11s;Activity;Physical symptoms;I found myself getting agitated.;
8;2;Depression, anxiety and stress scale (DASS21);7;12s;Activity;Physical symptoms;I found it difficult to relax.;
9;2;Depression, anxiety and stress scale (DASS21);7;13d;Emotion;Sadness;I felt down-hearted and blue.;
10;2;Depression, anxiety and stress scale (DASS21);7;16d;Emotion;Sadness, disgust;I was unable to become enthusiastic about anything.;
11;2;Depression, anxiety and stress scale (DASS21);7;20a;Emotion;Fear;I felt scared without any good reason;
12;3;The Three-Factor Eating Questionnaire;4;3;Activity;Eat - anxiety;When I feel anxious, I find myself eating.;
13;3;The Three-Factor Eating Questionnaire;4;4;Activity;Eat;Sometimes when I start eating, I just can’t seem to stop;
14;3;The Three-Factor Eating Questionnaire;4;6;Activity;Eat - sadness;When I feel blue, I often overeat.;
15;3;The Three-Factor Eating Questionnaire;4;14;Activity;Physical symptoms;How often do you feel hungry?;
16;4;The Kessler Psychological Distress Scale (K10);7;1;Activity;Physical symptoms - drowsiness;During the last 30 days, about how often did you feel tired out for no good reason?;
