Accion,Actividad,Categoria,Emocion,person,Nose_x,Nose_y,Neck_x,Neck_y,RShoulder_x,RShoulder_y,RElbow_x,RElbow_y,RWrist_x,RWrist_y,LShoulder_x,LShoulder_y,LElbow_x,LElbow_y,LWrist_x,LWrist_y,MidHip_x,MidHip_y,RHip_x,RHip_y,RKnee_x,RKnee_y,LHip_x,LHip_y,LKnee_x,LKnee_y
DarPaso,Caminar,Pausa,Neutral,0.0,838.7610000000001,4.9888,843.165,40.113,790.311,53.3279,765.347,120.896,816.704,153.16899999999998,898.9019999999999,28.4239,922.452,95.9254,898.9119999999999,135.547,860.775,195.736,831.416,198.68599999999998,857.8330000000001,298.53,888.6460000000001,192.78900000000002,873.9830000000001,291.181
DarPaso,Caminar,Pausa,Neutral,0.0,840.202,4.9356800000000005,847.56,46.0216,793.215,59.2017,769.709,131.144,824.054,160.531,898.967,35.75,925.3660000000001,101.801,898.954,141.43,863.7080000000001,200.139,835.799,204.54,863.725,307.308,893.065,195.765,876.9,291.172
DarPaso,Caminar,Pausa,Neutral,0.0,840.184,4.90278,850.465,53.3814,794.697,66.545,771.2330000000001,137.062,831.426,169.301,901.8810000000001,40.1716,928.299,106.196,901.852,147.322,866.62,204.562,837.294,211.88,871.023,314.64599999999996,897.452,201.60299999999998,878.375,288.244
DarPaso,Caminar,Pausa,Neutral,0.0,840.191,4.89885,851.95,59.2415,799.1,72.4541,777.0880000000001,150.218,835.834,172.28400000000002,906.2739999999999,47.4875,931.242,113.53399999999999,903.3539999999999,151.734,871.0360000000001,208.97,840.2080000000001,214.84400000000002,875.431,316.106,898.9680000000001,204.558,884.27,280.906
DarPaso,Caminar,Pausa,Neutral,0.0,838.7760000000001,16.6322,853.418,65.0827,802.0260000000001,78.2985,781.465,157.567,840.227,179.61700000000002,909.199,53.3427,934.1489999999999,119.39399999999999,909.2260000000001,156.115,876.8969999999999,216.3,847.554,222.18400000000003,878.3889999999999,320.505,904.7919999999999,211.88299999999998,893.069,279.411
DarPaso,Caminar,Pausa,Neutral,0.0,838.745,22.4962,854.913,69.5038,803.493,84.1964,782.97,166.38400000000001,848.993,182.514,910.686,54.8442,937.09,120.866,912.168,161.984,881.2869999999999,220.71099999999998,850.515,228.033,878.388,327.87800000000004,909.206,214.83,900.421,285.301
DarPaso,Caminar,Pausa,Neutral,0.0,838.753,28.3891,857.824,75.3367,803.4910000000001,88.5795,785.916,170.79,853.405,184.007,913.61,59.2224,941.485,123.84100000000001,918.0060000000001,167.831,882.7539999999999,226.584,851.947,232.445,881.315,333.75,910.679,219.24400000000003,912.1439999999999,298.499
DarPaso,Caminar,Pausa,Neutral,0.0,838.7660000000001,34.2768,860.7769999999999,78.3243,804.9839999999999,94.4533,787.3689999999999,178.118,857.812,189.886,916.545,63.6383,944.472,129.695,920.97,170.785,884.248,229.54,853.4169999999999,238.32,881.3380000000001,338.135,913.612,225.12099999999998,923.8710000000001,310.28700000000003
DarPaso,Caminar,Pausa,Neutral,0.0,840.222,40.1344,863.664,84.1906,806.435,100.309,788.813,182.547,859.305,195.72,919.4889999999999,68.0509,945.943,135.537,928.2869999999999,178.11599999999999,885.7139999999999,235.388,853.442,242.727,879.8660000000001,339.606,918.02,229.502,932.683,320.53700000000003
DarPaso,Caminar,Pausa,Neutral,0.0,841.675,44.5271,863.7289999999999,87.1249,809.372,101.824,788.8589999999999,186.93099999999998,860.7660000000001,198.68200000000002,920.961,73.8945,948.8689999999999,135.58700000000002,932.7080000000001,182.51,887.196,241.255,856.3610000000001,247.146,882.755,342.545,920.952,233.918,941.497,332.24699999999996
DarPaso,Caminar,Pausa,Neutral,0.0,844.6139999999999,51.8919,865.202,90.0477,810.8539999999999,106.19,790.291,192.78,862.227,204.575,923.915,76.842,953.227,145.852,937.091,184.019,891.581,247.136,859.297,251.546,882.7919999999999,344.039,925.3430000000001,241.273,945.945,341.108
DarPaso,Caminar,Pausa,Neutral,0.0,847.557,54.8563,868.1080000000001,97.3915,812.332,110.57700000000001,790.32,194.24599999999998,862.212,211.888,926.841,82.7257,956.183,148.773,942.94,192.785,894.539,250.06400000000002,860.7819999999999,257.402,885.698,348.41900000000004,928.283,244.209,948.872,346.936
DarPaso,Caminar,Pausa,Neutral,0.0,849.0269999999999,60.6689,871.034,101.78399999999999,813.775,113.564,791.7589999999999,194.31400000000002,857.8430000000001,216.324,929.773,87.1346,957.63,153.19299999999998,944.461,197.213,897.443,257.389,862.258,263.288,887.201,357.251,929.7639999999999,250.05599999999998,953.2360000000001,352.837
DarPaso,Caminar,Pausa,Neutral,0.0,850.503,65.0711,873.9680000000001,104.74700000000001,815.24,117.96,791.765,195.77599999999998,857.818,225.088,931.253,92.9938,957.68,159.066,945.923,203.084,897.466,263.252,862.2589999999999,267.67400000000004,887.198,358.717,931.215,255.94,951.783,361.648
DarPaso,Caminar,Pausa,Neutral,0.0,851.945,70.9449,875.444,110.62100000000001,815.26,122.361,791.7860000000001,198.671,853.442,231.017,934.1560000000001,101.785,960.5830000000001,169.30200000000002,947.378,211.89,898.932,267.687,863.721,274.994,887.2189999999999,361.64599999999996,932.679,263.262,953.2489999999999,371.906
DarPaso,Caminar,Pausa,Neutral,0.0,853.422,76.822,876.945,117.955,816.694,128.2,793.238,201.606,851.934,244.19799999999998,938.571,109.10700000000001,963.534,176.658,948.8439999999999,216.324,898.954,275.005,863.7230000000001,279.431,888.677,367.51300000000003,932.701,269.137,950.328,370.44
DarPaso,Caminar,Pausa,Neutral,0.0,856.365,84.1723,878.3969999999999,123.824,816.701,134.065,794.7130000000001,206.01,849.023,254.477,942.955,117.921,966.4580000000001,182.50400000000002,950.313,225.115,898.966,279.432,865.176,286.755,891.581,373.37800000000004,932.706,275.039,953.2669999999999,383.67400000000004
DarPaso,Caminar,Pausa,Neutral,0.0,860.7330000000001,90.0584,879.86,132.61700000000002,816.706,138.496,796.19,210.425,841.706,266.218,944.4639999999999,123.835,969.4169999999999,191.33,951.789,232.433,900.408,283.836,866.64,289.70099999999996,890.1139999999999,374.841,934.1469999999999,277.971,956.1610000000001,392.464
DarPaso,Caminar,Pausa,Neutral,0.0,862.225,100.34700000000001,882.7760000000001,137.039,816.7460000000001,145.858,799.125,216.278,838.765,279.421,945.926,134.071,973.779,200.15200000000002,951.784,244.179,901.8760000000001,291.16,869.561,294.111,888.643,376.332,934.188,288.22900000000004,957.6360000000001,404.202
DarPaso,Caminar,Pausa,Neutral,0.0,863.675,109.119,884.2560000000001,147.293,819.645,151.689,802.06,219.245,834.3589999999999,291.18,947.3889999999999,141.42,976.76,211.89,953.23,252.99900000000002,901.8889999999999,298.491,868.1239999999999,301.445,890.133,382.205,935.64,295.57099999999997,957.66,411.561
DarPaso,Caminar,Pausa,Neutral,0.0,863.7239999999999,117.961,885.711,156.091,819.67,157.591,804.961,228.03400000000002,829.959,301.447,951.785,154.626,979.6489999999999,223.62400000000002,953.2439999999999,264.756,904.794,310.25,871.035,313.186,894.533,386.605,940.035,308.765,957.687,421.84
DarPaso,Caminar,Pausa,Neutral,0.0,865.1460000000001,125.29899999999999,887.183,163.447,822.5989999999999,164.926,809.3660000000001,232.43900000000002,825.539,311.691,954.698,161.997,981.1260000000001,230.988,951.768,276.466,901.87,313.177,866.622,314.675,897.429,391.006,937.096,311.722,957.664,432.087
DarPaso,Caminar,Pausa,Neutral,0.0,865.184,134.108,888.6610000000001,170.771,825.5310000000001,169.354,815.2410000000001,241.24400000000003,821.1160000000001,320.498,956.178,172.25099999999998,981.174,244.204,948.857,288.212,901.8919999999999,322.005,868.1089999999999,324.913,897.4839999999999,393.941,935.6489999999999,321.976,957.659,435.04
DarPaso,Caminar,Pausa,Neutral,0.0,865.191,139.953,891.578,176.65099999999998,826.998,172.25400000000002,816.755,244.169,816.752,320.54200000000003,957.63,181.047,984.0930000000001,251.535,945.942,297.031,903.342,335.208,868.1039999999999,336.67800000000005,898.924,405.652,938.564,333.75199999999995,957.659,442.38800000000003
DarPaso,Caminar,Pausa,Neutral,0.0,865.176,147.29399999999998,891.597,181.09099999999998,827.0169999999999,173.748,818.201,245.639,816.737,319.072,957.678,192.78900000000002,982.6260000000001,263.254,944.403,308.769,901.8660000000001,341.083,866.638,341.101,893.049,418.88199999999995,935.648,341.07300000000004,957.6610000000001,448.24
DarPaso,Caminar,Pausa,Neutral,0.0,865.155,153.164,894.512,185.46200000000002,828.46,178.113,818.211,244.21,816.7360000000001,314.656,957.679,197.238,982.613,273.53700000000003,938.557,314.654,901.855,344.022,865.194,342.57,885.692,435.036,935.6339999999999,345.477,956.17,448.23800000000006
DarPaso,Caminar,Pausa,Neutral,0.0,862.26,159.045,893.061,194.24599999999998,828.45,181.05700000000002,818.201,245.65599999999998,816.7539999999999,311.693,957.6410000000001,204.572,981.177,282.339,932.6669999999999,323.481,900.403,352.811,865.1560000000001,351.346,878.3960000000001,446.786,934.188,354.292,954.705,452.68
