Accion,Actividad,Categoria,Emocion,person,L_Wrist_x,L_Wrist_y,L_Thumb_metac_x,L_Thumb_metac_y,L_Thumb_pphl_x,L_Thumb_pphl_y,L_Thumb_mphl_x,L_Thumb_mphl_y,L_Thumb_dphl_x,L_Thumb_dphl_y,L_Index_metac_x,L_Index_metac_y,L_Index_pphl_x,L_Index_pphl_y,L_Index_mphl_x,L_Index_mphl_y,L_Index_dphl_x,L_Index_dphl_y,L_Middle_metac_x,L_Middle_metac_y,L_Middle_pphl_x,L_Middle_pphl_y,L_Middle_mphl_x,L_Middle_mphl_y,L_Middle_dphl_x,L_Middle_dphl_y,L_Ring_metac_x,L_Ring_metac_y,L_Ring_pphl_x,L_Ring_pphl_y,L_Ring_mphl_x,L_Ring_mphl_y,L_Ring_dphl_x,L_Ring_dphl_y,L_Little_metac_x,L_Little_metac_y,L_Little_pphl_x,L_Little_pphl_y,L_Little_mphl_x,L_Little_mphl_y,L_Little_dphl_x,L_Little_dphl_y,R_Wrist_x,R_Wrist_y,R_Thumb_metac_x,R_Thumb_metac_y,R_Thumb_pphl_x,R_Thumb_pphl_y,R_Thumb_mphl_x,R_Thumb_mphl_y,R_Thumb_dphl_x,R_Thumb_dphl_y,R_Index_metac_x,R_Index_metac_y,R_Index_pphl_x,R_Index_pphl_y,R_Index_mphl_x,R_Index_mphl_y,R_Index_dphl_x,R_Index_dphl_y,R_Middle_metac_x,R_Middle_metac_y,R_Middle_pphl_x,R_Middle_pphl_y,R_Middle_mphl_x,R_Middle_mphl_y,R_Middle_dphl_x,R_Middle_dphl_y,R_Ring_metac_x,R_Ring_metac_y,R_Ring_pphl_x,R_Ring_pphl_y,R_Ring_mphl_x,R_Ring_mphl_y,R_Ring_dphl_x,R_Ring_dphl_y,R_Little_metac_x,R_Little_metac_y,R_Little_pphl_x,R_Little_pphl_y,R_Little_mphl_x,R_Little_mphl_y,R_Little_dphl_x,R_Little_dphl_y
DarPaso,Caminar,Pausa,Neutral,0.0,894.815,143.64,885.1110000000001,141.279,872.784,141.017,863.867,143.90200000000002,855.737,147.57399999999998,879.8660000000001,148.623,873.309,153.868,865.703,156.753,860.196,158.327,884.062,154.13,877.768,161.998,869.113,165.67,862.0319999999999,167.768,886.16,158.851,880.39,166.981,871.4730000000001,170.653,864.916,172.75099999999998,885.635,164.09599999999998,881.177,170.12900000000002,874.096,172.489,869.637,173.27599999999998,815.947,154.042,824.403,147.7,836.295,140.30100000000002,839.466,141.094,845.543,148.22799999999998,824.932,151.928,829.688,158.27,836.03,160.384,842.637,161.705,824.1389999999999,159.591,832.595,164.612,842.1080000000001,166.726,847.922,165.669,825.46,164.87599999999998,834.181,169.104,842.637,169.104,847.922,167.518,827.31,169.368,835.502,172.803,840.7869999999999,173.332,843.694,172.275
DarPaso,Caminar,Pausa,Neutral,0.0,895.457,149.02700000000002,884.2360000000001,145.89600000000002,872.4939999999999,143.287,865.709,145.635,859.447,149.02700000000002,879.018,145.113,872.4939999999999,144.591,866.753,146.157,861.012,149.28799999999998,881.3660000000001,153.724,875.1030000000001,157.378,868.319,160.509,862.317,162.596,885.28,161.031,878.757,166.511,870.4060000000001,169.903,864.1439999999999,171.729,885.802,168.076,880.061,173.55599999999998,872.4939999999999,175.905,866.492,176.94799999999998,822.83,161.899,829.7710000000001,154.68,840.6,146.628,845.597,146.351,848.3739999999999,142.741,831.715,159.4,836.435,163.842,842.821,166.34099999999998,849.4839999999999,167.174,831.993,167.73,840.322,171.61700000000002,848.6519999999999,173.005,855.315,172.45,834.2139999999999,173.282,842.2660000000001,176.33700000000002,849.762,176.05900000000003,855.87,175.50400000000002,837.546,177.17,845.597,180.22400000000002,850.317,180.22400000000002,854.482,179.391
DarPaso,Caminar,Pausa,Neutral,0.0,898.8639999999999,154.63299999999998,888.951,150.72,875.6460000000001,149.154,868.081,151.502,863.385,154.63299999999998,883.9939999999999,158.024,879.298,162.981,873.559,166.372,868.602,169.503,888.168,165.06799999999998,882.168,171.329,875.1239999999999,174.72099999999998,868.863,176.28599999999997,890.5160000000001,171.06799999999998,883.9939999999999,176.808,875.6460000000001,178.895,869.6460000000001,180.199,892.081,177.59,884.255,180.46,879.559,181.503,875.1239999999999,181.503,830.1360000000001,168.80700000000002,837.373,161.014,847.1139999999999,151.829,853.237,151.273,863.257,150.159,838.2080000000001,165.74599999999998,843.2180000000001,169.921,849.8969999999999,171.86900000000003,856.8560000000001,172.14700000000002,840.1560000000001,174.09599999999998,848.5060000000001,178.549,856.8560000000001,178.549,863.535,177.157,843.7739999999999,178.827,852.1239999999999,183.28,861.0310000000001,182.72400000000002,866.597,180.497,847.949,183.002,856.299,185.785,861.8660000000001,185.229,866.875,183.28
DarPaso,Caminar,Pausa,Neutral,0.0,900.1089999999999,161.232,891.302,156.569,878.6089999999999,155.015,872.1339999999999,156.569,868.7669999999999,157.864,887.675,164.34,883.5310000000001,169.52,878.868,172.62900000000002,874.465,175.21900000000002,891.043,171.334,886.898,177.80900000000003,880.164,181.695,874.465,183.767,892.079,176.514,887.1569999999999,183.50799999999998,880.682,186.61599999999999,874.7239999999999,188.429,891.043,181.176,885.6030000000001,187.393,880.682,189.206,875.76,189.983,837.431,174.52599999999998,841.582,165.928,845.436,159.108,854.331,155.254,869.451,157.33,844.8430000000001,171.264,849.291,175.118,856.11,176.304,862.632,177.19400000000002,847.215,179.269,856.11,183.12400000000002,864.115,183.42,870.341,182.827,851.07,184.606,859.3710000000001,188.46,867.9689999999999,187.86700000000002,873.602,186.97799999999998,854.034,189.646,863.225,192.018,868.562,191.72099999999998,873.0089999999999,190.239
DarPaso,Caminar,Pausa,Neutral,0.0,903.85,165.12400000000002,895.562,161.757,886.237,159.685,881.575,158.908,881.316,159.167,893.7489999999999,170.82299999999998,890.64,174.967,886.755,178.852,882.6110000000001,182.22,896.5980000000001,177.55700000000002,892.195,183.774,884.942,187.918,878.985,189.99,896.5980000000001,183.515,892.972,189.99,885.201,193.357,878.467,194.13400000000001,894.5260000000001,188.695,891.677,194.91099999999997,886.237,196.207,881.316,196.725,841.5939999999999,180.885,847.602,173.37400000000002,854.211,164.362,865.0260000000001,161.05700000000002,872.837,160.45600000000002,853.01,178.481,856.0139999999999,180.885,862.623,182.988,868.632,183.28799999999998,856.0139999999999,185.99200000000002,861.722,189.89700000000002,870.7339999999999,188.99599999999998,877.3439999999999,187.794,859.319,191.7,865.327,194.704,874.3389999999999,192.90200000000002,879.1460000000001,190.498,863.2239999999999,195.90599999999998,871.6360000000001,197.107,875.2410000000001,196.206,879.747,195.605
DarPaso,Caminar,Pausa,Neutral,0.0,908.117,169.553,900.2919999999999,166.423,892.988,165.11900000000003,883.336,163.815,874.4680000000001,170.858,901.074,176.335,898.987,182.335,896.64,185.987,892.988,190.16099999999997,901.335,183.639,899.248,191.204,893.51,195.638,887.2489999999999,199.29,901.335,188.856,900.2919999999999,196.94299999999998,895.075,201.638,890.3789999999999,205.29,901.074,194.856,900.2919999999999,201.638,897.1610000000001,205.02900000000002,892.988,206.59400000000002,850.581,185.97299999999998,856.485,176.65,861.4580000000001,168.88099999999997,863.322,168.88099999999997,862.079,171.988,861.768,177.271,864.565,183.797,869.8480000000001,186.59400000000002,876.3739999999999,189.391,864.2539999999999,185.662,867.051,188.769,872.334,190.32299999999998,876.685,189.08,866.1189999999999,191.56599999999997,871.7130000000001,196.53799999999998,878.86,197.16,884.765,196.53799999999998,869.227,196.84900000000002,876.685,199.335,881.6569999999999,199.024,884.765,197.47099999999998
DarPaso,Caminar,Pausa,Neutral,0.0,917.2280000000001,171.24599999999998,913.3560000000001,169.955,907.934,168.66400000000002,907.418,170.213,905.0939999999999,168.923,910.258,184.671,909.225,189.834,906.127,193.707,902.2539999999999,197.579,909.225,191.9,907.676,198.87,901.48,203.00099999999998,896.317,206.09900000000002,908.709,197.321,907.676,203.775,903.2869999999999,208.16400000000002,899.1560000000001,211.52,908.967,203.517,907.418,207.90599999999998,905.352,211.262,901.9960000000001,213.328,857.172,189.294,860.873,180.35,867.966,172.332,874.443,167.08900000000003,879.377,162.154,872.284,184.976,875.985,189.294,881.2280000000001,192.07,885.8539999999999,194.22799999999998,875.06,193.303,881.2280000000001,198.854,888.013,200.705,893.872,202.247,877.5269999999999,197.929,884.003,204.097,891.7139999999999,205.94799999999998,898.19,206.565,879.377,201.322,888.938,206.25599999999997,896.0310000000001,208.72299999999998,900.966,211.80700000000002
DarPaso,Caminar,Pausa,Neutral,0.0,925.053,167.507,905.584,178.55700000000002,906.11,173.821,920.58,174.34799999999998,928.7360000000001,179.872,920.58,186.187,918.7389999999999,193.553,916.1080000000001,196.447,911.372,199.868,918.4760000000001,194.343,918.2130000000001,201.972,910.846,205.65599999999998,904.005,208.287,917.686,199.604,917.949,206.708,912.1610000000001,210.65400000000002,907.163,213.285,916.6339999999999,206.445,916.8969999999999,212.233,914.529,214.601,912.1610000000001,216.179,860.044,192.829,863.808,184.674,871.6489999999999,177.14700000000002,881.372,169.61900000000003,887.018,162.405,882.313,182.165,883.8810000000001,186.55599999999998,882.94,186.87,881.372,187.81099999999998,884.822,189.69299999999998,886.704,192.515,890.4680000000001,194.39700000000002,894.232,195.65200000000002,885.45,196.27900000000002,888.586,200.043,894.232,202.239,899.25,203.493,886.077,202.86599999999999,891.7230000000001,206.94299999999998,894.8589999999999,207.88400000000001,899.25,207.571
DarPaso,Caminar,Pausa,Neutral,0.0,913.42,182.86,915.2819999999999,180.733,915.2819999999999,176.47799999999998,927.5139999999999,179.137,929.6410000000001,178.87099999999998,928.045,191.10299999999998,927.248,195.358,923.525,198.017,918.4730000000001,201.208,927.5139999999999,199.081,925.3860000000001,204.399,917.143,207.59,909.698,209.185,926.45,204.665,923.791,209.983,917.143,212.642,911.293,214.769,925.6519999999999,210.78099999999998,922.727,215.301,919.5360000000001,217.69400000000002,916.877,219.29,863.747,198.524,868.067,188.96,875.472,180.62900000000002,883.4939999999999,174.15,888.43,167.362,881.025,188.96,889.3560000000001,191.428,895.835,193.896,900.7719999999999,196.364,883.185,196.364,893.058,199.45,899.846,201.609,905.4,203.769,883.802,201.609,893.367,203.769,900.7719999999999,205.929,905.4,207.16299999999998,885.345,206.855,893.9839999999999,208.08900000000003,898.921,208.706,903.24,209.32299999999998
DarPaso,Caminar,Pausa,Neutral,0.0,932.3430000000001,187.313,934.082,182.842,931.846,177.62599999999998,934.082,184.581,934.33,185.078,936.814,195.014,932.095,198.74,927.127,201.72,922.159,204.701,935.821,202.71400000000003,929.1139999999999,208.675,920.42,210.66299999999998,914.21,212.40099999999998,934.827,208.675,928.3689999999999,213.395,920.42,215.382,914.955,216.37599999999998,934.082,215.13400000000001,926.878,218.611,922.159,219.85299999999998,918.185,220.59900000000002,864.262,203.845,868.437,194.85299999999998,876.466,185.86,884.174,179.11599999999999,888.9910000000001,172.69299999999998,882.8889999999999,193.56799999999998,893.166,195.81599999999997,899.268,198.385,905.37,199.34900000000002,884.174,200.955,896.056,203.524,903.7639999999999,204.808,909.2239999999999,206.093,885.4580000000001,206.735,896.699,208.662,903.7639999999999,208.983,909.2239999999999,209.305,887.706,211.87400000000002,897.02,211.553,902.4789999999999,211.553,906.3330000000001,211.87400000000002
