Accion,Actividad,Categoria,Emocion,person,Nose_x,Nose_y,Neck_x,Neck_y,RShoulder_x,RShoulder_y,RElbow_x,RElbow_y,RWrist_x,RWrist_y,LShoulder_x,LShoulder_y,LElbow_x,LElbow_y,LWrist_x,LWrist_y,RHip_x,RHip_y
DarPaso,Caminar,Pausa,Neutral,0.0,838.7610000000001,4.9888,843.165,40.113,790.311,53.3279,765.347,120.896,816.704,153.16899999999998,898.9019999999999,28.4239,922.452,95.9254,898.9119999999999,135.547,831.416,198.68599999999998
DarPaso,Caminar,Pausa,Neutral,0.0,840.202,4.9356800000000005,847.56,46.0216,793.215,59.2017,769.709,131.144,824.054,160.531,898.967,35.75,925.3660000000001,101.801,898.954,141.43,835.799,204.54
DarPaso,Caminar,Pausa,Neutral,0.0,840.184,4.90278,850.465,53.3814,794.697,66.545,771.2330000000001,137.062,831.426,169.301,901.8810000000001,40.1716,928.299,106.196,901.852,147.322,837.294,211.88
DarPaso,Caminar,Pausa,Neutral,0.0,840.191,4.89885,851.95,59.2415,799.1,72.4541,777.0880000000001,150.218,835.834,172.28400000000002,906.2739999999999,47.4875,931.242,113.53399999999999,903.3539999999999,151.734,840.2080000000001,214.84400000000002
DarPaso,Caminar,Pausa,Neutral,0.0,838.7760000000001,16.6322,853.418,65.0827,802.0260000000001,78.2985,781.465,157.567,840.227,179.61700000000002,909.199,53.3427,934.1489999999999,119.39399999999999,909.2260000000001,156.115,847.554,222.18400000000003
DarPaso,Caminar,Pausa,Neutral,0.0,838.745,22.4962,854.913,69.5038,803.493,84.1964,782.97,166.38400000000001,848.993,182.514,910.686,54.8442,937.09,120.866,912.168,161.984,850.515,228.033
DarPaso,Caminar,Pausa,Neutral,0.0,838.753,28.3891,857.824,75.3367,803.4910000000001,88.5795,785.916,170.79,853.405,184.007,913.61,59.2224,941.485,123.84100000000001,918.0060000000001,167.831,851.947,232.445
DarPaso,Caminar,Pausa,Neutral,0.0,838.7660000000001,34.2768,860.7769999999999,78.3243,804.9839999999999,94.4533,787.3689999999999,178.118,857.812,189.886,916.545,63.6383,944.472,129.695,920.97,170.785,853.4169999999999,238.32
DarPaso,Caminar,Pausa,Neutral,0.0,840.222,40.1344,863.664,84.1906,806.435,100.309,788.813,182.547,859.305,195.72,919.4889999999999,68.0509,945.943,135.537,928.2869999999999,178.11599999999999,853.442,242.727
DarPaso,Caminar,Pausa,Neutral,0.0,841.675,44.5271,863.7289999999999,87.1249,809.372,101.824,788.8589999999999,186.93099999999998,860.7660000000001,198.68200000000002,920.961,73.8945,948.8689999999999,135.58700000000002,932.7080000000001,182.51,856.3610000000001,247.146
DarPaso,Caminar,Pausa,Neutral,0.0,844.6139999999999,51.8919,865.202,90.0477,810.8539999999999,106.19,790.291,192.78,862.227,204.575,923.915,76.842,953.227,145.852,937.091,184.019,859.297,251.546
DarPaso,Caminar,Pausa,Neutral,0.0,847.557,54.8563,868.1080000000001,97.3915,812.332,110.57700000000001,790.32,194.24599999999998,862.212,211.888,926.841,82.7257,956.183,148.773,942.94,192.785,860.7819999999999,257.402
DarPaso,Caminar,Pausa,Neutral,0.0,849.0269999999999,60.6689,871.034,101.78399999999999,813.775,113.564,791.7589999999999,194.31400000000002,857.8430000000001,216.324,929.773,87.1346,957.63,153.19299999999998,944.461,197.213,862.258,263.288
DarPaso,Caminar,Pausa,Neutral,0.0,850.503,65.0711,873.9680000000001,104.74700000000001,815.24,117.96,791.765,195.77599999999998,857.818,225.088,931.253,92.9938,957.68,159.066,945.923,203.084,862.2589999999999,267.67400000000004
DarPaso,Caminar,Pausa,Neutral,0.0,851.945,70.9449,875.444,110.62100000000001,815.26,122.361,791.7860000000001,198.671,853.442,231.017,934.1560000000001,101.785,960.5830000000001,169.30200000000002,947.378,211.89,863.721,274.994
DarPaso,Caminar,Pausa,Neutral,0.0,853.422,76.822,876.945,117.955,816.694,128.2,793.238,201.606,851.934,244.19799999999998,938.571,109.10700000000001,963.534,176.658,948.8439999999999,216.324,863.7230000000001,279.431
DarPaso,Caminar,Pausa,Neutral,0.0,856.365,84.1723,878.3969999999999,123.824,816.701,134.065,794.7130000000001,206.01,849.023,254.477,942.955,117.921,966.4580000000001,182.50400000000002,950.313,225.115,865.176,286.755
DarPaso,Caminar,Pausa,Neutral,0.0,860.7330000000001,90.0584,879.86,132.61700000000002,816.706,138.496,796.19,210.425,841.706,266.218,944.4639999999999,123.835,969.4169999999999,191.33,951.789,232.433,866.64,289.70099999999996
DarPaso,Caminar,Pausa,Neutral,0.0,862.225,100.34700000000001,882.7760000000001,137.039,816.7460000000001,145.858,799.125,216.278,838.765,279.421,945.926,134.071,973.779,200.15200000000002,951.784,244.179,869.561,294.111
DarPaso,Caminar,Pausa,Neutral,0.0,863.675,109.119,884.2560000000001,147.293,819.645,151.689,802.06,219.245,834.3589999999999,291.18,947.3889999999999,141.42,976.76,211.89,953.23,252.99900000000002,868.1239999999999,301.445
DarPaso,Caminar,Pausa,Neutral,0.0,863.7239999999999,117.961,885.711,156.091,819.67,157.591,804.961,228.03400000000002,829.959,301.447,951.785,154.626,979.6489999999999,223.62400000000002,953.2439999999999,264.756,871.035,313.186
DarPaso,Caminar,Pausa,Neutral,0.0,865.1460000000001,125.29899999999999,887.183,163.447,822.5989999999999,164.926,809.3660000000001,232.43900000000002,825.539,311.691,954.698,161.997,981.1260000000001,230.988,951.768,276.466,866.622,314.675
DarPaso,Caminar,Pausa,Neutral,0.0,865.184,134.108,888.6610000000001,170.771,825.5310000000001,169.354,815.2410000000001,241.24400000000003,821.1160000000001,320.498,956.178,172.25099999999998,981.174,244.204,948.857,288.212,868.1089999999999,324.913
DarPaso,Caminar,Pausa,Neutral,0.0,865.191,139.953,891.578,176.65099999999998,826.998,172.25400000000002,816.755,244.169,816.752,320.54200000000003,957.63,181.047,984.0930000000001,251.535,945.942,297.031,868.1039999999999,336.67800000000005
DarPaso,Caminar,Pausa,Neutral,0.0,865.176,147.29399999999998,891.597,181.09099999999998,827.0169999999999,173.748,818.201,245.639,816.737,319.072,957.678,192.78900000000002,982.6260000000001,263.254,944.403,308.769,866.638,341.101
DarPaso,Caminar,Pausa,Neutral,0.0,865.155,153.164,894.512,185.46200000000002,828.46,178.113,818.211,244.21,816.7360000000001,314.656,957.679,197.238,982.613,273.53700000000003,938.557,314.654,865.194,342.57
DarPaso,Caminar,Pausa,Neutral,0.0,862.26,159.045,893.061,194.24599999999998,828.45,181.05700000000002,818.201,245.65599999999998,816.7539999999999,311.693,957.6410000000001,204.572,981.177,282.339,932.6669999999999,323.481,865.1560000000001,351.346
DarPaso,Caminar,Pausa,Neutral,0.0,860.7560000000001,167.88,890.1339999999999,197.24599999999998,828.44,182.56799999999998,819.645,245.671,816.763,310.22,956.188,214.834,981.135,292.619,929.747,333.73900000000003,863.687,355.73800000000006
DarPaso,Caminar,Pausa,Neutral,0.0,857.808,176.66099999999997,888.655,203.058,828.457,185.49599999999998,821.143,247.106,821.113,307.29400000000004,951.797,220.704,979.68,299.955,920.975,342.564,862.207,357.218
DarPaso,Caminar,Pausa,Neutral,0.0,851.932,182.543,885.745,206.043,827.015,186.94299999999998,825.5310000000001,247.105,824.071,305.863,948.828,228.053,978.182,308.788,913.6060000000001,349.89,854.914,355.77
DarPaso,Caminar,Pausa,Neutral,0.0,846.095,189.85299999999998,885.7080000000001,214.83,826.992,194.304,831.3919999999999,255.924,828.445,308.78700000000003,945.9110000000001,233.92700000000002,973.791,316.116,907.7180000000001,358.663,851.9760000000001,363.09
DarPaso,Caminar,Pausa,Neutral,0.0,840.201,197.24,882.765,217.76,822.5880000000001,197.205,835.829,266.20599999999996,834.336,313.184,941.493,241.25599999999997,969.418,323.46,898.9689999999999,364.57599999999996,850.5010000000001,366.04400000000004
DarPaso,Caminar,Pausa,Neutral,0.0,835.798,204.54,878.3939999999999,223.65900000000002,818.222,201.608,837.2860000000001,288.226,840.217,357.226,932.703,245.679,964.993,330.788,891.6060000000001,371.892,849.0110000000001,371.914
DarPaso,Caminar,Pausa,Neutral,0.0,827.0269999999999,210.415,875.438,229.535,816.712,206.00799999999998,837.28,294.11,832.855,361.62699999999995,928.2869999999999,254.468,957.669,339.594,882.802,380.731,846.0930000000001,377.78
DarPaso,Caminar,Pausa,Neutral,0.0,821.1360000000001,216.326,872.495,239.764,815.242,214.81900000000002,834.37,295.577,824.049,360.181,923.8860000000001,263.26599999999996,953.247,346.96,875.466,388.08099999999996,841.673,385.125
DarPaso,Caminar,Pausa,Neutral,0.0,812.3330000000001,222.16,866.643,244.185,826.995,226.583,834.334,308.789,826.992,363.098,913.6360000000001,266.226,945.8939999999999,357.218,865.182,393.949,838.745,389.541
DarPaso,Caminar,Pausa,Neutral,0.0,803.485,228.049,860.745,250.06400000000002,815.247,228.06099999999998,0.0,0.0,0.0,0.0,906.2810000000001,275.025,932.683,368.944,853.442,405.655,837.2769999999999,401.274
DarPaso,Caminar,Pausa,Neutral,0.0,793.247,232.468,854.9119999999999,257.4,816.716,239.782,818.204,320.539,812.334,389.527,898.9069999999999,282.367,920.967,376.333,841.686,415.913,837.248,402.728
DarPaso,Caminar,Pausa,Neutral,0.0,782.9680000000001,239.75900000000001,844.6189999999999,261.828,806.448,238.31900000000002,0.0,0.0,0.0,0.0,887.173,291.184,909.187,392.48199999999997,829.9119999999999,427.663,831.3989999999999,405.69
DarPaso,Caminar,Pausa,Neutral,0.0,772.707,247.114,837.255,267.664,804.966,235.385,0.0,0.0,0.0,0.0,878.3660000000001,298.517,897.435,405.673,815.258,436.523,825.51,405.67800000000005
DarPaso,Caminar,Pausa,Neutral,0.0,762.3889999999999,250.07,829.932,272.085,797.6460000000001,241.25099999999998,0.0,0.0,0.0,0.0,865.1489999999999,305.856,882.758,408.60699999999997,802.013,445.30199999999996,815.268,413.023
DarPaso,Caminar,Pausa,Neutral,0.0,752.127,253.02900000000002,818.168,275.01599999999996,788.846,239.78900000000002,0.0,0.0,0.0,0.0,851.9730000000001,310.259,869.562,411.566,785.918,454.158,807.904,421.825
DarPaso,Caminar,Pausa,Neutral,0.0,738.939,257.42,807.904,277.983,781.4889999999999,245.66099999999997,0.0,0.0,0.0,0.0,840.196,316.124,850.498,418.885,769.779,464.411,800.581,427.69199999999995
DarPaso,Caminar,Pausa,Neutral,0.0,725.7080000000001,261.812,799.1039999999999,285.29400000000004,772.694,248.595,0.0,0.0,0.0,0.0,828.4910000000001,322.004,834.336,429.154,756.498,474.681,793.227,435.015
DarPaso,Caminar,Pausa,Neutral,0.0,715.431,264.744,788.841,289.70599999999996,766.808,251.525,0.0,0.0,0.0,0.0,816.7260000000001,326.406,815.2510000000001,437.94599999999997,738.92,484.958,784.432,437.98900000000003
DarPaso,Caminar,Pausa,Neutral,0.0,708.062,267.678,782.948,289.694,765.335,248.607,0.0,0.0,0.0,0.0,806.429,329.348,799.1239999999999,440.91,722.797,496.684,774.154,437.978
DarPaso,Caminar,Pausa,Neutral,0.0,697.816,273.552,775.615,291.183,766.807,250.05,0.0,0.0,0.0,0.0,793.255,335.19199999999995,782.97,449.723,709.541,502.59,772.706,446.782
DarPaso,Caminar,Pausa,Neutral,0.0,687.563,276.475,768.2769999999999,292.658,760.946,252.984,0.0,0.0,0.0,0.0,784.44,338.131,768.2560000000001,452.662,693.424,512.832,771.221,443.847
DarPaso,Caminar,Pausa,Neutral,0.0,677.2710000000001,280.914,760.959,295.561,756.554,251.541,737.433,329.344,730.1139999999999,364.587,771.217,342.548,753.585,455.611,680.205,521.656,769.742,439.44699999999995
DarPaso,Caminar,Pausa,Neutral,0.0,671.395,285.309,753.5889999999999,297.034,747.716,251.547,724.2510000000001,329.333,719.831,360.186,763.8760000000001,344.031,737.428,464.381,671.367,528.994,769.76,442.37800000000004
SoltarObjeto,Acomodar,Trabajo,Neutral,0.0,662.607,289.69599999999997,744.7689999999999,298.527,743.31,253.01,716.8919999999999,323.457,711.02,361.64099999999996,752.1339999999999,351.348,724.2189999999999,468.806,658.182,537.7909999999999,774.16,439.445
SoltarObjeto,Acomodar,Trabajo,Neutral,0.0,652.289,294.094,737.438,298.506,735.962,252.995,0.0,0.0,0.0,0.0,741.8539999999999,345.491,712.49,476.135,647.913,545.16,788.8380000000001,435.039
SoltarObjeto,Acomodar,Trabajo,Neutral,0.0,644.965,297.043,728.6339999999999,299.983,727.175,252.979,0.0,0.0,0.0,0.0,734.503,349.89599999999996,705.1519999999999,480.532,642.028,550.995,796.166,429.157
SoltarObjeto,Acomodar,Trabajo,Neutral,0.0,637.631,299.996,721.308,302.92400000000004,722.7739999999999,253.00099999999998,0.0,0.0,0.0,0.0,721.324,358.684,697.807,483.468,636.143,556.909,796.1619999999999,421.81699999999995
SoltarObjeto,Acomodar,Trabajo,Neutral,0.0,628.845,308.756,715.437,307.305,719.845,254.457,0.0,0.0,0.0,0.0,716.885,358.702,690.4639999999999,486.41,628.82,562.749,788.828,417.42900000000003
SoltarObjeto,Acomodar,Trabajo,Neutral,0.0,622.939,310.243,711.0,310.231,713.9680000000001,257.39,0.0,0.0,0.0,0.0,709.565,361.64300000000003,686.056,487.899,625.886,567.165,785.877,423.288
SoltarObjeto,Acomodar,Trabajo,Neutral,0.0,615.607,311.716,705.1439999999999,311.703,711.029,258.86,0.0,0.0,0.0,0.0,699.298,364.57300000000004,678.721,487.907,622.941,571.5740000000001,781.4789999999999,424.767
SoltarObjeto,Acomodar,Trabajo,Neutral,0.0,611.187,313.22,697.836,311.715,706.6030000000001,254.47,750.643,277.994,0.0,0.0,694.888,367.50199999999995,672.873,495.20599999999996,618.564,575.986,777.095,427.69300000000004
SoltarObjeto,Acomodar,Trabajo,Neutral,0.0,603.865,314.66900000000004,693.408,316.112,699.2869999999999,255.942,750.66,283.81,0.0,0.0,688.997,373.376,668.465,498.155,617.087,580.336,771.222,432.103
SoltarObjeto,Acomodar,Trabajo,Neutral,0.0,602.375,319.075,689.0160000000001,317.607,700.7410000000001,257.408,749.186,288.264,0.0,0.0,681.677,373.395,666.9789999999999,499.601,617.081,580.408,766.805,432.101
SoltarObjeto,Acomodar,Trabajo,Neutral,0.0,599.456,322.033,686.045,319.056,694.867,260.349,747.747,292.62,0.0,0.0,675.807,377.795,664.062,501.121,617.057,583.305,765.3380000000001,435.023
SoltarObjeto,Acomodar,Trabajo,Neutral,0.0,595.026,322.004,678.732,321.981,689.0319999999999,261.818,747.711,297.04200000000003,731.571,323.455,672.86,385.11,665.4989999999999,504.036,617.067,583.304,760.924,436.491
SoltarObjeto,Acomodar,Trabajo,Neutral,0.0,589.1709999999999,323.469,675.7660000000001,323.467,687.541,263.26599999999996,746.237,301.46,728.6210000000001,336.67900000000003,666.9939999999999,385.13300000000004,665.503,504.05,617.044,583.331,756.513,437.959
SoltarObjeto,Acomodar,Trabajo,Neutral,0.0,583.315,324.907,672.847,323.481,681.6510000000001,263.305,741.852,308.785,722.7869999999999,348.42400000000004,665.502,388.06,665.502,504.04400000000004,617.0880000000001,583.313,749.201,437.98
SoltarObjeto,Acomodar,Trabajo,Neutral,0.0,580.396,326.403,669.913,326.39099999999996,675.818,264.772,740.3580000000001,310.27299999999997,722.785,357.223,664.046,389.537,665.534,504.039,619.989,583.2919999999999,743.33,440.903
SoltarObjeto,Acomodar,Trabajo,Neutral,0.0,577.422,327.88300000000004,665.5189999999999,327.879,674.309,267.681,735.9889999999999,311.746,733.051,361.619,661.133,395.405,666.9810000000001,506.965,621.457,583.319,740.378,446.784
SoltarObjeto,Acomodar,Trabajo,Neutral,0.0,571.58,329.32,662.582,330.81699999999995,668.441,269.164,730.122,313.182,733.043,366.022,659.643,395.412,669.9010000000001,504.032,622.951,583.305,737.455,445.31800000000004
SoltarObjeto,Acomodar,Trabajo,Neutral,0.0,571.569,330.788,659.6619999999999,333.73900000000003,665.5039999999999,273.552,722.742,313.205,725.7260000000001,369.0,659.625,401.27099999999996,666.998,508.42199999999997,622.942,584.7719999999999,731.58,452.658
SoltarObjeto,Acomodar,Trabajo,Neutral,0.0,567.143,330.78,658.174,336.69199999999995,664.046,276.486,719.831,322.01,722.7710000000001,374.852,656.7239999999999,405.69800000000004,666.97,509.87699999999995,621.491,587.698,725.698,454.121
SoltarObjeto,Acomodar,Trabajo,Neutral,0.0,565.677,332.275,653.798,336.664,659.664,279.425,0.0,0.0,0.0,0.0,653.788,407.13800000000003,666.972,509.913,620.025,589.16,721.312,459.994
SoltarObjeto,Acomodar,Trabajo,Neutral,0.0,561.311,333.733,650.814,336.68199999999996,652.314,280.899,0.0,0.0,0.0,0.0,650.826,407.14300000000003,666.9730000000001,511.343,620.016,589.17,719.821,464.38699999999994
SoltarObjeto,Acomodar,Trabajo,Neutral,0.0,555.431,332.241,646.429,338.142,646.423,282.351,0.0,0.0,0.0,0.0,649.379,405.68300000000005,666.9839999999999,509.88800000000003,621.487,589.1619999999999,715.429,462.93300000000005
SoltarObjeto,Acomodar,Trabajo,Neutral,0.0,551.004,330.801,643.49,339.62199999999996,644.951,286.752,0.0,0.0,0.0,0.0,646.4259999999999,407.135,665.5369999999999,509.881,622.944,587.705,712.488,470.28
SoltarObjeto,Acomodar,Trabajo,Neutral,0.0,548.052,327.9,640.553,341.07800000000003,640.536,286.756,0.0,0.0,0.0,0.0,643.4730000000001,407.156,665.539,506.985,625.847,584.786,706.622,473.209
SoltarObjeto,Acomodar,Trabajo,Neutral,0.0,545.144,327.86199999999997,634.681,341.087,633.214,288.221,0.0,0.0,0.0,0.0,640.571,407.156,665.544,506.968,628.784,583.303,702.206,476.142
SoltarObjeto,Acomodar,Trabajo,Neutral,0.0,537.786,327.86800000000005,627.371,342.559,625.874,288.256,0.0,0.0,0.0,0.0,636.1519999999999,407.162,666.992,504.031,633.2180000000001,581.813,696.342,479.08
SoltarObjeto,Acomodar,Trabajo,Neutral,0.0,533.342,327.884,622.9540000000001,344.01,620.009,291.163,0.0,0.0,0.0,0.0,630.276,407.14,668.459,501.08099999999996,639.089,578.92,684.5939999999999,483.472
SoltarObjeto,Acomodar,Trabajo,Neutral,0.0,523.146,327.876,615.614,344.01300000000003,612.674,291.164,0.0,0.0,0.0,0.0,625.869,404.217,669.918,496.704,644.961,578.867,674.316,484.954
DarPaso,Caminar,Pausa,Neutral,0.0,517.249,327.87,609.725,345.473,603.861,292.63599999999997,0.0,0.0,0.0,0.0,618.5369999999999,404.18199999999996,671.3660000000001,486.405,652.283,573.026,671.3889999999999,483.48900000000003
DarPaso,Caminar,Pausa,Neutral,0.0,509.86800000000005,329.315,600.922,345.48699999999997,595.066,294.089,0.0,0.0,0.0,0.0,614.132,401.274,669.904,480.543,656.688,568.609,637.621,498.163
DarPaso,Caminar,Pausa,Neutral,0.0,504.02,332.298,593.587,346.94300000000004,587.703,294.122,0.0,0.0,0.0,0.0,603.866,399.80699999999996,667.007,476.153,662.577,561.31,622.943,505.5
DarPaso,Caminar,Pausa,Neutral,0.0,496.69599999999997,333.76599999999996,581.842,345.494,578.88,295.594,0.0,0.0,0.0,0.0,595.0409999999999,396.86400000000003,665.5060000000001,474.665,666.9830000000001,558.326,614.125,508.44
DarPaso,Caminar,Pausa,Neutral,0.0,483.48900000000003,335.17900000000003,574.5169999999999,346.969,568.607,297.026,0.0,0.0,0.0,0.0,589.17,396.85900000000004,659.6489999999999,470.25199999999995,672.8560000000001,552.482,609.729,506.964
