Accion,Actividad,Categoria,Emocion,person,MidHip_x,MidHip_y,MidHip_c,RHip_x,RHip_y,RHip_c,RKnee_x,RKnee_y,RKnee_c,LHip_x,LHip_y,LHip_c,LKnee_x,LKnee_y,LKnee_c,MidHip_x_T-2,MidHip_x_T-4,MidHip_x_T-6,MidHip_x_T-8,MidHip_y_T-2,MidHip_y_T-4,MidHip_y_T-6,MidHip_y_T-8,MidHip_c_T-2,MidHip_c_T-4,MidHip_c_T-6,MidHip_c_T-8,RHip_x_T-2,RHip_x_T-4,RHip_x_T-6,RHip_x_T-8,RHip_y_T-2,RHip_y_T-4,RHip_y_T-6,RHip_y_T-8,RHip_c_T-2,RHip_c_T-4,RHip_c_T-6,RHip_c_T-8,RKnee_x_T-2,RKnee_x_T-4,RKnee_x_T-6,RKnee_x_T-8,RKnee_y_T-2,RKnee_y_T-4,RKnee_y_T-6,RKnee_y_T-8,RKnee_c_T-2,RKnee_c_T-4,RKnee_c_T-6,RKnee_c_T-8,LHip_x_T-2,LHip_x_T-4,LHip_x_T-6,LHip_x_T-8,LHip_y_T-2,LHip_y_T-4,LHip_y_T-6,LHip_y_T-8,LHip_c_T-2,LHip_c_T-4,LHip_c_T-6,LHip_c_T-8,LKnee_x_T-2,LKnee_x_T-4,LKnee_x_T-6,LKnee_x_T-8,LKnee_y_T-2,LKnee_y_T-4,LKnee_y_T-6,LKnee_y_T-8,LKnee_c_T-2,LKnee_c_T-4,LKnee_c_T-6,LKnee_c_T-8
DarPaso,Caminar,Pausa,Neutral,0.0,860.775,195.736,0.763397,831.416,198.68599999999998,0.7423770000000001,857.8330000000001,298.53,0.759368,888.6460000000001,192.78900000000002,0.716328,873.9830000000001,291.181,0.601241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DarPaso,Caminar,Pausa,Neutral,0.0,863.7080000000001,200.139,0.773197,835.799,204.54,0.738697,863.725,307.308,0.773291,893.065,195.765,0.709961,876.9,291.172,0.588431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DarPaso,Caminar,Pausa,Neutral,0.0,866.62,204.562,0.7380180000000001,837.294,211.88,0.717042,871.023,314.64599999999996,0.728517,897.452,201.60299999999998,0.7228220000000001,878.375,288.244,0.512315,860.775,,,,195.736,,,,0.763397,,,,831.416,,,,198.68599999999998,,,,0.7423770000000001,,,,857.8330000000001,,,,298.53,,,,0.759368,,,,888.6460000000001,,,,192.78900000000002,,,,0.716328,,,,873.9830000000001,,,,291.181,,,,0.601241,,,
DarPaso,Caminar,Pausa,Neutral,0.0,871.0360000000001,208.97,0.719102,840.2080000000001,214.84400000000002,0.728863,875.431,316.106,0.745622,898.9680000000001,204.558,0.730066,884.27,280.906,0.588393,863.7080000000001,,,,200.139,,,,0.773197,,,,835.799,,,,204.54,,,,0.738697,,,,863.725,,,,307.308,,,,0.773291,,,,893.065,,,,195.765,,,,0.709961,,,,876.9,,,,291.172,,,,0.588431,,,
DarPaso,Caminar,Pausa,Neutral,0.0,876.8969999999999,216.3,0.753395,847.554,222.18400000000003,0.708542,878.3889999999999,320.505,0.755216,904.7919999999999,211.88299999999998,0.713674,893.069,279.411,0.650887,866.62,860.775,,,204.562,195.736,,,0.7380180000000001,0.763397,,,837.294,831.416,,,211.88,198.68599999999998,,,0.717042,0.7423770000000001,,,871.023,857.8330000000001,,,314.64599999999996,298.53,,,0.728517,0.759368,,,897.452,888.6460000000001,,,201.60299999999998,192.78900000000002,,,0.7228220000000001,0.716328,,,878.375,873.9830000000001,,,288.244,291.181,,,0.512315,0.601241,,
DarPaso,Caminar,Pausa,Neutral,0.0,881.2869999999999,220.71099999999998,0.743566,850.515,228.033,0.731953,878.388,327.87800000000004,0.717058,909.206,214.83,0.7199760000000001,900.421,285.301,0.68205,871.0360000000001,863.7080000000001,,,208.97,200.139,,,0.719102,0.773197,,,840.2080000000001,835.799,,,214.84400000000002,204.54,,,0.728863,0.738697,,,875.431,863.725,,,316.106,307.308,,,0.745622,0.773291,,,898.9680000000001,893.065,,,204.558,195.765,,,0.730066,0.709961,,,884.27,876.9,,,280.906,291.172,,,0.588393,0.588431,,
DarPaso,Caminar,Pausa,Neutral,0.0,882.7539999999999,226.584,0.755886,851.947,232.445,0.71626,881.315,333.75,0.782403,910.679,219.24400000000003,0.7222390000000001,912.1439999999999,298.499,0.786455,876.8969999999999,866.62,860.775,,216.3,204.562,195.736,,0.753395,0.7380180000000001,0.763397,,847.554,837.294,831.416,,222.18400000000003,211.88,198.68599999999998,,0.708542,0.717042,0.7423770000000001,,878.3889999999999,871.023,857.8330000000001,,320.505,314.64599999999996,298.53,,0.755216,0.728517,0.759368,,904.7919999999999,897.452,888.6460000000001,,211.88299999999998,201.60299999999998,192.78900000000002,,0.713674,0.7228220000000001,0.716328,,893.069,878.375,873.9830000000001,,279.411,288.244,291.181,,0.650887,0.512315,0.601241,
DarPaso,Caminar,Pausa,Neutral,0.0,884.248,229.54,0.753706,853.4169999999999,238.32,0.698168,881.3380000000001,338.135,0.78863,913.612,225.12099999999998,0.7272029999999999,923.8710000000001,310.28700000000003,0.8286540000000001,881.2869999999999,871.0360000000001,863.7080000000001,,220.71099999999998,208.97,200.139,,0.743566,0.719102,0.773197,,850.515,840.2080000000001,835.799,,228.033,214.84400000000002,204.54,,0.731953,0.728863,0.738697,,878.388,875.431,863.725,,327.87800000000004,316.106,307.308,,0.717058,0.745622,0.773291,,909.206,898.9680000000001,893.065,,214.83,204.558,195.765,,0.7199760000000001,0.730066,0.709961,,900.421,884.27,876.9,,285.301,280.906,291.172,,0.68205,0.588393,0.588431,
DarPaso,Caminar,Pausa,Neutral,0.0,885.7139999999999,235.388,0.732708,853.442,242.727,0.70598,879.8660000000001,339.606,0.772119,918.02,229.502,0.728598,932.683,320.53700000000003,0.8450200000000001,882.7539999999999,876.8969999999999,866.62,860.775,226.584,216.3,204.562,195.736,0.755886,0.753395,0.7380180000000001,0.763397,851.947,847.554,837.294,831.416,232.445,222.18400000000003,211.88,198.68599999999998,0.71626,0.708542,0.717042,0.7423770000000001,881.315,878.3889999999999,871.023,857.8330000000001,333.75,320.505,314.64599999999996,298.53,0.782403,0.755216,0.728517,0.759368,910.679,904.7919999999999,897.452,888.6460000000001,219.24400000000003,211.88299999999998,201.60299999999998,192.78900000000002,0.7222390000000001,0.713674,0.7228220000000001,0.716328,912.1439999999999,893.069,878.375,873.9830000000001,298.499,279.411,288.244,291.181,0.786455,0.650887,0.512315,0.601241
DarPaso,Caminar,Pausa,Neutral,0.0,887.196,241.255,0.7375689999999999,856.3610000000001,247.146,0.717182,882.755,342.545,0.786466,920.952,233.918,0.712675,941.497,332.24699999999996,0.772846,884.248,881.2869999999999,871.0360000000001,863.7080000000001,229.54,220.71099999999998,208.97,200.139,0.753706,0.743566,0.719102,0.773197,853.4169999999999,850.515,840.2080000000001,835.799,238.32,228.033,214.84400000000002,204.54,0.698168,0.731953,0.728863,0.738697,881.3380000000001,878.388,875.431,863.725,338.135,327.87800000000004,316.106,307.308,0.78863,0.717058,0.745622,0.773291,913.612,909.206,898.9680000000001,893.065,225.12099999999998,214.83,204.558,195.765,0.7272029999999999,0.7199760000000001,0.730066,0.709961,923.8710000000001,900.421,884.27,876.9,310.28700000000003,285.301,280.906,291.172,0.8286540000000001,0.68205,0.588393,0.588431
