Accion,Actividad,Categoria,Emocion,person,MidHip_x,MidHip_y,RHip_x,RHip_y,RKnee_x,RKnee_y,LHip_x,LHip_y,LKnee_x,LKnee_y,MidHip_x_T-1,MidHip_x_T-2,MidHip_x_T-3,MidHip_x_T-4,MidHip_x_T-5,MidHip_y_T-1,MidHip_y_T-2,MidHip_y_T-3,MidHip_y_T-4,MidHip_y_T-5,RHip_x_T-1,RHip_x_T-2,RHip_x_T-3,RHip_x_T-4,RHip_x_T-5,RHip_y_T-1,RHip_y_T-2,RHip_y_T-3,RHip_y_T-4,RHip_y_T-5,RKnee_x_T-1,RKnee_x_T-2,RKnee_x_T-3,RKnee_x_T-4,RKnee_x_T-5,RKnee_y_T-1,RKnee_y_T-2,RKnee_y_T-3,RKnee_y_T-4,RKnee_y_T-5,LHip_x_T-1,LHip_x_T-2,LHip_x_T-3,LHip_x_T-4,LHip_x_T-5,LHip_y_T-1,LHip_y_T-2,LHip_y_T-3,LHip_y_T-4,LHip_y_T-5,LKnee_x_T-1,LKnee_x_T-2,LKnee_x_T-3,LKnee_x_T-4,LKnee_x_T-5,LKnee_y_T-1,LKnee_y_T-2,LKnee_y_T-3,LKnee_y_T-4,LKnee_y_T-5
DarPaso,Caminar,Pausa,Neutral,0.0,860.775,195.736,831.416,198.68599999999998,857.8330000000001,298.53,888.6460000000001,192.78900000000002,873.9830000000001,291.181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DarPaso,Caminar,Pausa,Neutral,0.0,863.7080000000001,200.139,835.799,204.54,863.725,307.308,893.065,195.765,876.9,291.172,860.775,,,,,195.736,,,,,831.416,,,,,198.68599999999998,,,,,857.8330000000001,,,,,298.53,,,,,888.6460000000001,,,,,192.78900000000002,,,,,873.9830000000001,,,,,291.181,,,,
DarPaso,Caminar,Pausa,Neutral,0.0,866.62,204.562,837.294,211.88,871.023,314.64599999999996,897.452,201.60299999999998,878.375,288.244,863.7080000000001,860.775,,,,200.139,195.736,,,,835.799,831.416,,,,204.54,198.68599999999998,,,,863.725,857.8330000000001,,,,307.308,298.53,,,,893.065,888.6460000000001,,,,195.765,192.78900000000002,,,,876.9,873.9830000000001,,,,291.172,291.181,,,
DarPaso,Caminar,Pausa,Neutral,0.0,871.0360000000001,208.97,840.2080000000001,214.84400000000002,875.431,316.106,898.9680000000001,204.558,884.27,280.906,866.62,863.7080000000001,860.775,,,204.562,200.139,195.736,,,837.294,835.799,831.416,,,211.88,204.54,198.68599999999998,,,871.023,863.725,857.8330000000001,,,314.64599999999996,307.308,298.53,,,897.452,893.065,888.6460000000001,,,201.60299999999998,195.765,192.78900000000002,,,878.375,876.9,873.9830000000001,,,288.244,291.172,291.181,,
DarPaso,Caminar,Pausa,Neutral,0.0,876.8969999999999,216.3,847.554,222.18400000000003,878.3889999999999,320.505,904.7919999999999,211.88299999999998,893.069,279.411,871.0360000000001,866.62,863.7080000000001,860.775,,208.97,204.562,200.139,195.736,,840.2080000000001,837.294,835.799,831.416,,214.84400000000002,211.88,204.54,198.68599999999998,,875.431,871.023,863.725,857.8330000000001,,316.106,314.64599999999996,307.308,298.53,,898.9680000000001,897.452,893.065,888.6460000000001,,204.558,201.60299999999998,195.765,192.78900000000002,,884.27,878.375,876.9,873.9830000000001,,280.906,288.244,291.172,291.181,
DarPaso,Caminar,Pausa,Neutral,0.0,881.2869999999999,220.71099999999998,850.515,228.033,878.388,327.87800000000004,909.206,214.83,900.421,285.301,876.8969999999999,871.0360000000001,866.62,863.7080000000001,860.775,216.3,208.97,204.562,200.139,195.736,847.554,840.2080000000001,837.294,835.799,831.416,222.18400000000003,214.84400000000002,211.88,204.54,198.68599999999998,878.3889999999999,875.431,871.023,863.725,857.8330000000001,320.505,316.106,314.64599999999996,307.308,298.53,904.7919999999999,898.9680000000001,897.452,893.065,888.6460000000001,211.88299999999998,204.558,201.60299999999998,195.765,192.78900000000002,893.069,884.27,878.375,876.9,873.9830000000001,279.411,280.906,288.244,291.172,291.181
DarPaso,Caminar,Pausa,Neutral,0.0,882.7539999999999,226.584,851.947,232.445,881.315,333.75,910.679,219.24400000000003,912.1439999999999,298.499,881.2869999999999,876.8969999999999,871.0360000000001,866.62,863.7080000000001,220.71099999999998,216.3,208.97,204.562,200.139,850.515,847.554,840.2080000000001,837.294,835.799,228.033,222.18400000000003,214.84400000000002,211.88,204.54,878.388,878.3889999999999,875.431,871.023,863.725,327.87800000000004,320.505,316.106,314.64599999999996,307.308,909.206,904.7919999999999,898.9680000000001,897.452,893.065,214.83,211.88299999999998,204.558,201.60299999999998,195.765,900.421,893.069,884.27,878.375,876.9,285.301,279.411,280.906,288.244,291.172
DarPaso,Caminar,Pausa,Neutral,0.0,884.248,229.54,853.4169999999999,238.32,881.3380000000001,338.135,913.612,225.12099999999998,923.8710000000001,310.28700000000003,882.7539999999999,881.2869999999999,876.8969999999999,871.0360000000001,866.62,226.584,220.71099999999998,216.3,208.97,204.562,851.947,850.515,847.554,840.2080000000001,837.294,232.445,228.033,222.18400000000003,214.84400000000002,211.88,881.315,878.388,878.3889999999999,875.431,871.023,333.75,327.87800000000004,320.505,316.106,314.64599999999996,910.679,909.206,904.7919999999999,898.9680000000001,897.452,219.24400000000003,214.83,211.88299999999998,204.558,201.60299999999998,912.1439999999999,900.421,893.069,884.27,878.375,298.499,285.301,279.411,280.906,288.244
DarPaso,Caminar,Pausa,Neutral,0.0,885.7139999999999,235.388,853.442,242.727,879.8660000000001,339.606,918.02,229.502,932.683,320.53700000000003,884.248,882.7539999999999,881.2869999999999,876.8969999999999,871.0360000000001,229.54,226.584,220.71099999999998,216.3,208.97,853.4169999999999,851.947,850.515,847.554,840.2080000000001,238.32,232.445,228.033,222.18400000000003,214.84400000000002,881.3380000000001,881.315,878.388,878.3889999999999,875.431,338.135,333.75,327.87800000000004,320.505,316.106,913.612,910.679,909.206,904.7919999999999,898.9680000000001,225.12099999999998,219.24400000000003,214.83,211.88299999999998,204.558,923.8710000000001,912.1439999999999,900.421,893.069,884.27,310.28700000000003,298.499,285.301,279.411,280.906
DarPaso,Caminar,Pausa,Neutral,0.0,887.196,241.255,856.3610000000001,247.146,882.755,342.545,920.952,233.918,941.497,332.24699999999996,885.7139999999999,884.248,882.7539999999999,881.2869999999999,876.8969999999999,235.388,229.54,226.584,220.71099999999998,216.3,853.442,853.4169999999999,851.947,850.515,847.554,242.727,238.32,232.445,228.033,222.18400000000003,879.8660000000001,881.3380000000001,881.315,878.388,878.3889999999999,339.606,338.135,333.75,327.87800000000004,320.505,918.02,913.612,910.679,909.206,904.7919999999999,229.502,225.12099999999998,219.24400000000003,214.83,211.88299999999998,932.683,923.8710000000001,912.1439999999999,900.421,893.069,320.53700000000003,310.28700000000003,298.499,285.301,279.411
