Accion,Actividad,Categoria,Emocion,person,MidHip_x,MidHip_y,RHip_x,RHip_y,RKnee_x,RKnee_y,LHip_x,LHip_y,LKnee_x,LKnee_y,MidHip_x_T-6,MidHip_x_T-7,MidHip_x_T-8,MidHip_x_T-9,MidHip_y_T-6,MidHip_y_T-7,MidHip_y_T-8,MidHip_y_T-9,RHip_x_T-6,RHip_x_T-7,RHip_x_T-8,RHip_x_T-9,RHip_y_T-6,RHip_y_T-7,RHip_y_T-8,RHip_y_T-9,RKnee_x_T-6,RKnee_x_T-7,RKnee_x_T-8,RKnee_x_T-9,RKnee_y_T-6,RKnee_y_T-7,RKnee_y_T-8,RKnee_y_T-9,LHip_x_T-6,LHip_x_T-7,LHip_x_T-8,LHip_x_T-9,LHip_y_T-6,LHip_y_T-7,LHip_y_T-8,LHip_y_T-9,LKnee_x_T-6,LKnee_x_T-7,LKnee_x_T-8,LKnee_x_T-9,LKnee_y_T-6,LKnee_y_T-7,LKnee_y_T-8,LKnee_y_T-9
DarPaso,Caminar,Pausa,Neutral,0.0,860.775,195.736,831.416,198.68599999999998,857.8330000000001,298.53,888.6460000000001,192.78900000000002,873.9830000000001,291.181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DarPaso,Caminar,Pausa,Neutral,0.0,863.7080000000001,200.139,835.799,204.54,863.725,307.308,893.065,195.765,876.9,291.172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DarPaso,Caminar,Pausa,Neutral,0.0,866.62,204.562,837.294,211.88,871.023,314.64599999999996,897.452,201.60299999999998,878.375,288.244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DarPaso,Caminar,Pausa,Neutral,0.0,871.0360000000001,208.97,840.2080000000001,214.84400000000002,875.431,316.106,898.9680000000001,204.558,884.27,280.906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DarPaso,Caminar,Pausa,Neutral,0.0,876.8969999999999,216.3,847.554,222.18400000000003,878.3889999999999,320.505,904.7919999999999,211.88299999999998,893.069,279.411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DarPaso,Caminar,Pausa,Neutral,0.0,881.2869999999999,220.71099999999998,850.515,228.033,878.388,327.87800000000004,909.206,214.83,900.421,285.301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DarPaso,Caminar,Pausa,Neutral,0.0,882.7539999999999,226.584,851.947,232.445,881.315,333.75,910.679,219.24400000000003,912.1439999999999,298.499,860.775,,,,195.736,,,,831.416,,,,198.68599999999998,,,,857.8330000000001,,,,298.53,,,,888.6460000000001,,,,192.78900000000002,,,,873.9830000000001,,,,291.181,,,
DarPaso,Caminar,Pausa,Neutral,0.0,884.248,229.54,853.4169999999999,238.32,881.3380000000001,338.135,913.612,225.12099999999998,923.8710000000001,310.28700000000003,863.7080000000001,860.775,,,200.139,195.736,,,835.799,831.416,,,204.54,198.68599999999998,,,863.725,857.8330000000001,,,307.308,298.53,,,893.065,888.6460000000001,,,195.765,192.78900000000002,,,876.9,873.9830000000001,,,291.172,291.181,,
DarPaso,Caminar,Pausa,Neutral,0.0,885.7139999999999,235.388,853.442,242.727,879.8660000000001,339.606,918.02,229.502,932.683,320.53700000000003,866.62,863.7080000000001,860.775,,204.562,200.139,195.736,,837.294,835.799,831.416,,211.88,204.54,198.68599999999998,,871.023,863.725,857.8330000000001,,314.64599999999996,307.308,298.53,,897.452,893.065,888.6460000000001,,201.60299999999998,195.765,192.78900000000002,,878.375,876.9,873.9830000000001,,288.244,291.172,291.181,
DarPaso,Caminar,Pausa,Neutral,0.0,887.196,241.255,856.3610000000001,247.146,882.755,342.545,920.952,233.918,941.497,332.24699999999996,871.0360000000001,866.62,863.7080000000001,860.775,208.97,204.562,200.139,195.736,840.2080000000001,837.294,835.799,831.416,214.84400000000002,211.88,204.54,198.68599999999998,875.431,871.023,863.725,857.8330000000001,316.106,314.64599999999996,307.308,298.53,898.9680000000001,897.452,893.065,888.6460000000001,204.558,201.60299999999998,195.765,192.78900000000002,884.27,878.375,876.9,873.9830000000001,280.906,288.244,291.172,291.181
DarPaso,Caminar,Pausa,Neutral,0.0,891.581,247.136,859.297,251.546,882.7919999999999,344.039,925.3430000000001,241.273,945.945,341.108,876.8969999999999,871.0360000000001,866.62,863.7080000000001,216.3,208.97,204.562,200.139,847.554,840.2080000000001,837.294,835.799,222.18400000000003,214.84400000000002,211.88,204.54,878.3889999999999,875.431,871.023,863.725,320.505,316.106,314.64599999999996,307.308,904.7919999999999,898.9680000000001,897.452,893.065,211.88299999999998,204.558,201.60299999999998,195.765,893.069,884.27,878.375,876.9,279.411,280.906,288.244,291.172
DarPaso,Caminar,Pausa,Neutral,0.0,894.539,250.06400000000002,860.7819999999999,257.402,885.698,348.41900000000004,928.283,244.209,948.872,346.936,881.2869999999999,876.8969999999999,871.0360000000001,866.62,220.71099999999998,216.3,208.97,204.562,850.515,847.554,840.2080000000001,837.294,228.033,222.18400000000003,214.84400000000002,211.88,878.388,878.3889999999999,875.431,871.023,327.87800000000004,320.505,316.106,314.64599999999996,909.206,904.7919999999999,898.9680000000001,897.452,214.83,211.88299999999998,204.558,201.60299999999998,900.421,893.069,884.27,878.375,285.301,279.411,280.906,288.244
DarPaso,Caminar,Pausa,Neutral,0.0,897.443,257.389,862.258,263.288,887.201,357.251,929.7639999999999,250.05599999999998,953.2360000000001,352.837,882.7539999999999,881.2869999999999,876.8969999999999,871.0360000000001,226.584,220.71099999999998,216.3,208.97,851.947,850.515,847.554,840.2080000000001,232.445,228.033,222.18400000000003,214.84400000000002,881.315,878.388,878.3889999999999,875.431,333.75,327.87800000000004,320.505,316.106,910.679,909.206,904.7919999999999,898.9680000000001,219.24400000000003,214.83,211.88299999999998,204.558,912.1439999999999,900.421,893.069,884.27,298.499,285.301,279.411,280.906
DarPaso,Caminar,Pausa,Neutral,0.0,897.466,263.252,862.2589999999999,267.67400000000004,887.198,358.717,931.215,255.94,951.783,361.648,884.248,882.7539999999999,881.2869999999999,876.8969999999999,229.54,226.584,220.71099999999998,216.3,853.4169999999999,851.947,850.515,847.554,238.32,232.445,228.033,222.18400000000003,881.3380000000001,881.315,878.388,878.3889999999999,338.135,333.75,327.87800000000004,320.505,913.612,910.679,909.206,904.7919999999999,225.12099999999998,219.24400000000003,214.83,211.88299999999998,923.8710000000001,912.1439999999999,900.421,893.069,310.28700000000003,298.499,285.301,279.411
DarPaso,Caminar,Pausa,Neutral,0.0,898.932,267.687,863.721,274.994,887.2189999999999,361.64599999999996,932.679,263.262,953.2489999999999,371.906,885.7139999999999,884.248,882.7539999999999,881.2869999999999,235.388,229.54,226.584,220.71099999999998,853.442,853.4169999999999,851.947,850.515,242.727,238.32,232.445,228.033,879.8660000000001,881.3380000000001,881.315,878.388,339.606,338.135,333.75,327.87800000000004,918.02,913.612,910.679,909.206,229.502,225.12099999999998,219.24400000000003,214.83,932.683,923.8710000000001,912.1439999999999,900.421,320.53700000000003,310.28700000000003,298.499,285.301
DarPaso,Caminar,Pausa,Neutral,0.0,898.954,275.005,863.7230000000001,279.431,888.677,367.51300000000003,932.701,269.137,950.328,370.44,887.196,885.7139999999999,884.248,882.7539999999999,241.255,235.388,229.54,226.584,856.3610000000001,853.442,853.4169999999999,851.947,247.146,242.727,238.32,232.445,882.755,879.8660000000001,881.3380000000001,881.315,342.545,339.606,338.135,333.75,920.952,918.02,913.612,910.679,233.918,229.502,225.12099999999998,219.24400000000003,941.497,932.683,923.8710000000001,912.1439999999999,332.24699999999996,320.53700000000003,310.28700000000003,298.499
DarPaso,Caminar,Pausa,Neutral,0.0,898.966,279.432,865.176,286.755,891.581,373.37800000000004,932.706,275.039,953.2669999999999,383.67400000000004,891.581,887.196,885.7139999999999,884.248,247.136,241.255,235.388,229.54,859.297,856.3610000000001,853.442,853.4169999999999,251.546,247.146,242.727,238.32,882.7919999999999,882.755,879.8660000000001,881.3380000000001,344.039,342.545,339.606,338.135,925.3430000000001,920.952,918.02,913.612,241.273,233.918,229.502,225.12099999999998,945.945,941.497,932.683,923.8710000000001,341.108,332.24699999999996,320.53700000000003,310.28700000000003
DarPaso,Caminar,Pausa,Neutral,0.0,900.408,283.836,866.64,289.70099999999996,890.1139999999999,374.841,934.1469999999999,277.971,956.1610000000001,392.464,894.539,891.581,887.196,885.7139999999999,250.06400000000002,247.136,241.255,235.388,860.7819999999999,859.297,856.3610000000001,853.442,257.402,251.546,247.146,242.727,885.698,882.7919999999999,882.755,879.8660000000001,348.41900000000004,344.039,342.545,339.606,928.283,925.3430000000001,920.952,918.02,244.209,241.273,233.918,229.502,948.872,945.945,941.497,932.683,346.936,341.108,332.24699999999996,320.53700000000003
DarPaso,Caminar,Pausa,Neutral,0.0,901.8760000000001,291.16,869.561,294.111,888.643,376.332,934.188,288.22900000000004,957.6360000000001,404.202,897.443,894.539,891.581,887.196,257.389,250.06400000000002,247.136,241.255,862.258,860.7819999999999,859.297,856.3610000000001,263.288,257.402,251.546,247.146,887.201,885.698,882.7919999999999,882.755,357.251,348.41900000000004,344.039,342.545,929.7639999999999,928.283,925.3430000000001,920.952,250.05599999999998,244.209,241.273,233.918,953.2360000000001,948.872,945.945,941.497,352.837,346.936,341.108,332.24699999999996
DarPaso,Caminar,Pausa,Neutral,0.0,901.8889999999999,298.491,868.1239999999999,301.445,890.133,382.205,935.64,295.57099999999997,957.66,411.561,897.466,897.443,894.539,891.581,263.252,257.389,250.06400000000002,247.136,862.2589999999999,862.258,860.7819999999999,859.297,267.67400000000004,263.288,257.402,251.546,887.198,887.201,885.698,882.7919999999999,358.717,357.251,348.41900000000004,344.039,931.215,929.7639999999999,928.283,925.3430000000001,255.94,250.05599999999998,244.209,241.273,951.783,953.2360000000001,948.872,945.945,361.648,352.837,346.936,341.108
DarPaso,Caminar,Pausa,Neutral,0.0,904.794,310.25,871.035,313.186,894.533,386.605,940.035,308.765,957.687,421.84,898.932,897.466,897.443,894.539,267.687,263.252,257.389,250.06400000000002,863.721,862.2589999999999,862.258,860.7819999999999,274.994,267.67400000000004,263.288,257.402,887.2189999999999,887.198,887.201,885.698,361.64599999999996,358.717,357.251,348.41900000000004,932.679,931.215,929.7639999999999,928.283,263.262,255.94,250.05599999999998,244.209,953.2489999999999,951.783,953.2360000000001,948.872,371.906,361.648,352.837,346.936
DarPaso,Caminar,Pausa,Neutral,0.0,901.87,313.177,866.622,314.675,897.429,391.006,937.096,311.722,957.664,432.087,898.954,898.932,897.466,897.443,275.005,267.687,263.252,257.389,863.7230000000001,863.721,862.2589999999999,862.258,279.431,274.994,267.67400000000004,263.288,888.677,887.2189999999999,887.198,887.201,367.51300000000003,361.64599999999996,358.717,357.251,932.701,932.679,931.215,929.7639999999999,269.137,263.262,255.94,250.05599999999998,950.328,953.2489999999999,951.783,953.2360000000001,370.44,371.906,361.648,352.837
DarPaso,Caminar,Pausa,Neutral,0.0,901.8919999999999,322.005,868.1089999999999,324.913,897.4839999999999,393.941,935.6489999999999,321.976,957.659,435.04,898.966,898.954,898.932,897.466,279.432,275.005,267.687,263.252,865.176,863.7230000000001,863.721,862.2589999999999,286.755,279.431,274.994,267.67400000000004,891.581,888.677,887.2189999999999,887.198,373.37800000000004,367.51300000000003,361.64599999999996,358.717,932.706,932.701,932.679,931.215,275.039,269.137,263.262,255.94,953.2669999999999,950.328,953.2489999999999,951.783,383.67400000000004,370.44,371.906,361.648
DarPaso,Caminar,Pausa,Neutral,0.0,903.342,335.208,868.1039999999999,336.67800000000005,898.924,405.652,938.564,333.75199999999995,957.659,442.38800000000003,900.408,898.966,898.954,898.932,283.836,279.432,275.005,267.687,866.64,865.176,863.7230000000001,863.721,289.70099999999996,286.755,279.431,274.994,890.1139999999999,891.581,888.677,887.2189999999999,374.841,373.37800000000004,367.51300000000003,361.64599999999996,934.1469999999999,932.706,932.701,932.679,277.971,275.039,269.137,263.262,956.1610000000001,953.2669999999999,950.328,953.2489999999999,392.464,383.67400000000004,370.44,371.906
DarPaso,Caminar,Pausa,Neutral,0.0,901.8660000000001,341.083,866.638,341.101,893.049,418.88199999999995,935.648,341.07300000000004,957.6610000000001,448.24,901.8760000000001,900.408,898.966,898.954,291.16,283.836,279.432,275.005,869.561,866.64,865.176,863.7230000000001,294.111,289.70099999999996,286.755,279.431,888.643,890.1139999999999,891.581,888.677,376.332,374.841,373.37800000000004,367.51300000000003,934.188,934.1469999999999,932.706,932.701,288.22900000000004,277.971,275.039,269.137,957.6360000000001,956.1610000000001,953.2669999999999,950.328,404.202,392.464,383.67400000000004,370.44
